"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua and Barbuda","ATG","Population ages 60-64, male","SP.POP.6064.MA","680","737","789","837","851","831","810","798","808","841","893","952","1003","1043","1073","1093","1102","1107","1112","1117","1128","1146","1166","1180","1167","1126","1066","995","930","875","827","803","801","797","792","793","811","830","835","835","838","840","848","878","921","972","1030","1090","1144","1204","1283","1387","1490","1570","1643","1711","1764","1830","1943","2067","2161","2239","2305","2359","2435",
"Australia","AUS","Population ages 60-64, male","SP.POP.6064.MA","185291","189729","195101","199446","204346","209909","216737","221879","228025","233960","238649","247365","254301","261909","272403","278031","280880","282447","281919","280509","283381","292245","305117","319699","333560","343898","350598","355552","360211","364432","366580","365517","361788","357226","353932","352173","353848","360317","370372","383241","397407","410948","422555","435281","450886","469881","494438","526949","556999","579766","596520","606563","611012","615449","621677","628762","638014","649442","662153","678790","697874","709098","722541","740929","756389",
"Austria","AUT","Population ages 60-64, male","SP.POP.6064.MA","181276","187576","193523","197974","200555","201844","201568","199520","196827","194178","191286","188328","186440","184683","180900","171895","156918","139244","122235","111625","112925","124758","140073","154506","164529","168744","169935","171077","174112","178069","181566","183894","184312","182150","177897","172811","168367","165699","166219","178038","199620","220173","234114","241763","240061","224945","209880","207796","212443","215766","222664","229495","229225","227235","227627","231155","238809","248749","258752","269903","281604","292653","305863","320621","332932",
"Azerbaijan","AZE","Population ages 60-64, male","SP.POP.6064.MA","36171","36063","35756","35608","35796","36125","36700","37439","38338","39378","40306","40974","41282","41147","40595","39726","38672","37289","36822","36733","37012","38079","40085","42996","48223","55870","65127","75520","87010","97857","106786","111540","113955","115279","114259","113348","115505","119253","121557","122548","121071","115887","106066","92697","78588","66910","60340","61530","70409","82721","95924","108763","118555","125871","134391","145116","158534","175033","192637","210498","227585","242025","251181","257648","261064",
"Burundi","BDI","Population ages 60-64, male","SP.POP.6064.MA","24884","25645","26321","26858","27525","28163","28732","29351","29945","30511","31092","31759","31748","31659","32265","32831","33270","33710","34185","34559","35398","36234","36654","37127","37487","37712","37787","37920","37939","37866","37900","37981","38364","36735","36545","38341","38019","37796","38396","39224","39906","40692","41557","42563","43862","45212","46520","47808","49369","51099","54356","59139","63926","68664","73584","76277","76764","77730","79175","80823","82118","83183","84530","86274","88047",
"Belgium","BEL","Population ages 60-64, male","SP.POP.6064.MA","235757","240867","245638","249891","253915","256847","256823","255588","254683","252824","250205","247707","246187","245847","245436","241012","229437","211560","191334","179547","183895","200390","222301","245538","262400","268024","267538","266474","265877","265192","265894","268144","270320","271078","269894","266098","260454","256121","254607","254379","252510","246887","240234","237662","239518","245065","260006","280268","295457","305966","314766","320025","320253","322051","324789","329123","334720","340543","346601","353425","360052","366633","374955","384120","392338",
"Benin","BEN","Population ages 60-64, male","SP.POP.6064.MA","32844","33099","33496","33974","34423","34793","35097","35344","35535","35673","35773","35832","35853","35848","35839","35838","35846","35860","35892","35956","36058","36200","36387","36613","36865","37147","37469","37835","38254","38742","39310","39974","40760","42141","43394","44165","45235","46506","47945","49590","51424","53389","55515","57787","60061","62301","64287","66472","69220","71849","74405","77269","79964","82313","85002","88102","91423","95049","98959","103140","107466","112072","117119","122392","127729",
"Burkina Faso","BFA","Population ages 60-64, male","SP.POP.6064.MA","53151","54254","55428","56646","57841","59003","60118","61167","62188","63235","64328","65439","66587","67750","68868","69927","70927","71886","72793","73645","74462","75207","75878","76508","77061","77493","77780","77921","77954","77915","77853","77783","77792","77979","78429","79159","80139","81461","83276","85422","87709","90190","92881","95882","99334","103166","106944","109874","109911","107627","105501","104109","104060","106964","112328","118136","124120","130200","136296","142477","148602","154585","160605","166734","172949",
"Bangladesh","BGD","Population ages 60-64, male","SP.POP.6064.MA","549164","569598","592652","617135","641464","664953","687875","710512","732776","754395","774556","774552","774976","795570","816416","838120","861201","884448","907510","929811","951003","971422","991513","1011287","1030584","1049732","1068695","1086999","1105335","1125249","1147019","1170133","1195771","1223783","1252003","1280194","1310082","1343031","1379114","1417733","1458646","1498365","1536016","1575099","1617062","1661939","1707786","1751003","1779373","1791412","1809498","1843955","1891575","1960539","2051689","2145038","2231554","2321587","2406654","2473877","2523977","2557008","2595789","2650737","2705937",
"Bulgaria","BGR","Population ages 60-64, male","SP.POP.6064.MA","146539","154554","160118","167670","177281","185485","193004","201121","206201","209272","212973","215519","218296","215450","214470","219570","210992","187340","169915","162315","160171","176117","205436","232508","249436","259157","265075","266093","265763","261143","254400","250200","248418","248822","249407","248062","244090","237924","228735","218656","211155","204061","198559","198894","200689","203660","210370","218238","225002","233383","241857","243856","241874","237097","232038","225489","221856","220005","216246","212405","209636","207478","204930","203077","202418",
