"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua and Barbuda","ATG","Population ages 60-64, female","SP.POP.6064.FE","947","980","995","998","994","987","986","996","1011","1025","1044","1064","1077","1089","1104","1118","1133","1153","1173","1189","1202","1211","1218","1225","1214","1181","1151","1122","1086","1043","992","957","942","927","921","926","937","948","965","978","981","996","1032","1073","1114","1177","1259","1339","1415","1489","1566","1655","1747","1834","1933","2030","2115","2214","2347","2500","2649","2779","2892","2997","3089",
"Australia","AUS","Population ages 60-64, female","SP.POP.6064.FE","206025","208067","210879","212370","214013","216285","220650","225055","232476","240913","249693","263109","271815","279829","291812","299198","303515","305644","305674","305419","310049","320323","332149","343782","354840","362811","366847","368425","369397","370224","370137","368316","364042","358866","355867","354879","356586","362150","370826","381814","393538","404976","415585","428343","444890","465175","490693","523766","554279","578038","596990","610389","619180","629210","641771","654582","668545","684001","699759","719209","740895","752480","767118","787336","801741",
"Austria","AUT","Population ages 60-64, female","SP.POP.6064.FE","238565","242289","246048","249317","251632","252915","254053","255299","255985","256601","257859","257692","256765","256131","253411","243455","225039","202357","179383","165040","168669","188120","212835","237211","253860","257719","253001","244294","234525","225227","217375","211438","207348","203405","198370","192682","187390","183411","182565","193912","215861","236972","251708","260489","259397","243766","227374","224361","228852","231737","238499","246131","246351","244079","244255","247855","255747","265436","274566","284467","294590","303685","315138","329026","340905",
"Azerbaijan","AZE","Population ages 60-64, female","SP.POP.6064.FE","61212","63743","65497","66793","67803","68331","68666","68703","68623","68720","68902","69098","69159","69043","68791","68310","67372","65934","67933","70274","72605","75252","77789","81172","86204","91098","96790","105060","114788","123133","131223","136764","140036","141715","139666","137715","141231","147877","152599","156890","157021","150721","138228","120592","101469","86194","77505","78245","88791","104403","120691","136104","148497","158437","169413","183112","198920","216166","233836","253759","273888","290188","301540","310794","316424",
"Burundi","BDI","Population ages 60-64, female","SP.POP.6064.FE","31488","32447","33268","33940","34726","35523","36288","37116","37924","38673","39394","40128","40170","40099","40704","41359","41972","42647","43372","43980","44895","45754","46230","46710","47097","47387","47564","47801","47956","48033","48191","48393","48846","47694","47689","49334","49382","49551","50410","51483","52469","53556","54706","55958","57443","58957","60396","61733","63199","64583","67455","71978","76478","80942","85699","88399","88921","89857","91182","92662","93876","94859","96089","97731","99409",
"Belgium","BEL","Population ages 60-64, female","SP.POP.6064.FE","276446","280534","284241","288174","291888","294293","294138","293024","292560","291006","288023","284967","282947","281645","280692","275340","261507","241057","218027","203639","207617","226218","250556","276165","294917","300745","299546","297388","295798","294387","294363","295661","297060","296791","294058","288732","281548","275457","272614","272112","269521","262719","255112","251331","251632","256158","270581","290625","305911","316056","324336","329769","330065","331384","334308","339320","345395","351432","357228","363677","369304","374688","382114","390155","396924",
"Benin","BEN","Population ages 60-64, female","SP.POP.6064.FE","43591","43567","43352","43036","42794","42688","42695","42828","43045","43248","43410","43534","43620","43713","43873","44127","44484","44947","45470","45982","46450","46882","47280","47668","48091","48579","49129","49746","50456","51298","52288","53440","54780","56636","58363","59659","61139","62726","64440","66392","68592","70975","73554","76303","79092","81854","84324","85806","86629","87222","87720","88546","90229","92635","95441","98694","102198","106048","110208","114665","119378","124377","129745","135371","141063",
"Burkina Faso","BFA","Population ages 60-64, female","SP.POP.6064.FE","46871","48619","50503","52470","54420","56324","58175","59942","61677","63474","65362","67324","69362","71430","73434","75346","77175","78924","80609","82265","83914","85525","87094","88631","90105","91486","92776","93990","95131","96206","97254","98287","99342","100498","101804","103280","104991","107019","109389","111983","114689","117514","120489","123756","127465","131561","135679","139089","140279","139725","139432","139929","141603","145672","151659","157860","164045","170310","176656","183173","189774","196259","202813","209642","216623",
"Bangladesh","BGD","Population ages 60-64, female","SP.POP.6064.FE","481731","495407","509941","524567","538606","552054","564917","577211","589832","604653","620129","630676","647022","674208","701193","727313","752952","776704","798757","820059","840946","861492","882237","903326","924444","945503","966797","988206","1009416","1030449","1051210","1070472","1089497","1109515","1129736","1150834","1174132","1201155","1232201","1266457","1303372","1342131","1382955","1427226","1475453","1527244","1580323","1631338","1670523","1697441","1734592","1790555","1859776","1950219","2063141","2178134","2286709","2356394","2377188","2379243","2364516","2333732","2356931","2441798","2525761",
"Bulgaria","BGR","Population ages 60-64, female","SP.POP.6064.FE","159850","166910","171255","177177","184721","191588","198818","207460","213451","217807","222359","224177","225936","222870","220771","226892","220939","197980","181034","174921","176340","194441","224678","254931","274942","286247","292596","293512","292828","287516","280090","275759","273737","274693","277218","278003","276013","271372","262609","252688","245237","237947","232511","233611","235968","239967","248042","257131","265299","275255","284873","286779","283773","276815","269544","260805","255222","251565","246154","240695","235788","231600","227661","224430","222416",
