Continent,Region,Country,Capital,ISO (3)
Europe,South East Europe,Slovenia,Ljubljana,SVN
Oceania,Pacific,Solomon Islands,Honiara,SLB
Africa,Eastern Africa,Somalia,Mogadishu,SOM
Africa,Southern Africa,South Africa,Pretoria ¹,ZAF
Europe,South West Europe,Spain,Madrid,ESP
Asia,South Asia,Sri Lanka,Colombo,LKA
Africa,Northern Africa,Sudan,Khartoum,SDN
Americas,South America,Suriname,Paramaribo,SUR
Europe,Northern Europe,Svalbard,Longyearbyen,SJM
Africa,Southern Africa,Swaziland,Mbabane ²,SWZ
Europe,Northern Europe,Sweden,Stockholm,SWE
Europe,Central Europe,Switzerland,Bern,CHE
Asia,South West Asia,Syria,Damascus,SYR
Asia,East Asia,Taiwan,Taipei,TWN
Asia,Central Asia,Tajikistan,Dushanbe,TJK
Africa,Eastern Africa,Tanzania,Dar es Salaam,TZA
Asia,South East Asia,Thailand,Bangkok,THA
Africa,Western Africa,Togo,Lome,TGO
Oceania,Pacific,Tokelau,none,TKL
Oceania,Pacific,Tonga,Nuku'alofa,TON
Americas,West Indies,Trinidad and Tobago,Port-of-Spain,TTO
Africa,Northern Africa,Tunisia,Tunis,TUN
Asia,South West Asia,Turkey,Ankara,TUR
Asia,Central Asia,Turkmenistan,Ashgabat,TKM
Americas,West Indies,Turks and Caicos Islands,Grand Turk,TCA
Oceania,Pacific,Tuvalu,Funafuti,TUV
Africa,Eastern Africa,Uganda,Kampala,UGA
Europe,Eastern Europe,Ukraine,Kiev,UKR
Asia,South West Asia,United Arab Emirates,Abu Dhabi,ARE
Europe,Western Europe,United Kingdom,London,GBR
Americas,North America,United States,"Washington, DC",USA
Americas,South America,Uruguay,Montevideo,URY
Asia,Central Asia,Uzbekistan,Tashkent (Toshkent),UZB
Oceania,Pacific,Vanuatu,Port-Vila,VUT
Americas,South America,Venezuela,Caracas,VEN
Asia,South East Asia,Vietnam,Hanoi,VNM
Americas,West Indies,Virgin Islands,Charlotte Amalie,VIR
Oceania,Pacific,Wallis and Futuna,Mata-Utu (on Ile Uvea),WLF
Africa,Northern Africa,Western Sahara,none,ESH
Oceania,Pacific,Western Samoa,Apia,WSM
Asia,South West Asia,Yemen,Sanaa,YEM
Africa,Central Africa,Zaire (Dem Rep of Congo),Kinshasa,ZAR
Africa,Southern Africa,Zambia,Lusaka,ZWB
Africa,Southern Africa,Zimbabwe,Harare,ZWE
